,Buurten,level_of_income,Year,value
655,Kesteren, Low income,2020,"41,0"
656,Muizenberg, Low income,2020,"33,0"
657,Heksenwiel, Low income,2020,"35,0"
658,Overkroeten, Low income,2020,"31,0"
659,Kroeten, Low income,2020,"21,0"
660,Emer, Low income,2020,?
661,Hagebeemd, Low income,2020,?
662,Bavel, Low income,2020,"26,0"
663,Nieuw Wolfslaar, Low income,2020,"16,0"
664,Buitengebied Bavel, Low income,2020,"14,0"
665,Ulvenhout, Low income,2020,"26,0"
666,Buitengebied Ulvenhout, Low income,2020,"24,0"
667,Prinsenbeek, Low income,2020,"24,0"
668,Buitengebied Prinsenbeek, Low income,2020,"18,0"
669,Teteringen, Low income,2020,"24,0"
670,Vuchtpolder, Low income,2020,?
671,Buitengebied Teteringen, Low income,2020,?
672,Valkenberg, Low income,2021,"61,0"
673,Chassé, Low income,2021,"47,0"
674,Fellenoord, Low income,2021,"70,0"
675,Schorsmolen, Low income,2021,"68,0"
676,Station, Low income,2021,"55,0"
677,City, Low income,2021,"61,0"
678,Belcrum, Low income,2021,"36,0"
679,Doornbos-Linie, Low income,2021,"54,0"
680,Biesdonk, Low income,2021,"55,0"
681,Geeren-zuid, Low income,2021,"65,0"
682,Wisselaar, Low income,2021,"50,0"
683,Krogten, Low income,2021,?
684,Geeren-noord, Low income,2021,"62,0"
685,Waterdonken, Low income,2021,"20,0"
686,Brabantpark, Low income,2021,"55,0"
687,Sportpark, Low income,2021,"28,0"
688,Zandberg, Low income,2021,"34,0"
689,Heusdenhout, Low income,2021,"47,0"
690,Moleneind-oost, Low income,2021,?
691,Hoogeind, Low income,2021,?
692,Blauwe Kei, Low income,2021,"30,0"
693,Ypelaar, Low income,2021,"43,0"
694,Overakker, Low income,2021,"36,0"
695,Ginneken, Low income,2021,"24,0"
696,Mastbos, Low income,2021,"23,0"
697,Boeimeer, Low income,2021,"33,0"
698,Ruitersbos, Low income,2021,"35,0"
699,Haagpoort, Low income,2021,"56,0"
700,Heuvel, Low income,2021,"54,0"
701,Tuinzigt, Low income,2021,"62,0"
702,Princenhage, Low income,2021,"37,0"
703,Westerpark, Low income,2021,"28,0"
704,Heilaar, Low income,2021,"23,0"
705,Hazeldonk, Low income,2021,?
706,Steenakker, Low income,2021,"73,0"
707,Effen-Rith, Low income,2021,"18,0"
708,Liesbos, Low income,2021,"16,0"
709,Gageldonk, Low income,2021,"33,0"
710,Kievitsloop, Low income,2021,"27,0"
711,Kesteren, Low income,2021,"43,0"
712,Muizenberg, Low income,2021,"33,0"
713,Heksenwiel, Low income,2021,"35,0"
714,Overkroeten, Low income,2021,"32,0"
715,Kroeten, Low income,2021,"21,0"
716,Emer, Low income,2021,?
717,Hagebeemd, Low income,2021,?
718,Bavel, Low income,2021,"27,0"
719,Nieuw Wolfslaar, Low income,2021,"17,0"
720,Buitengebied Bavel, Low income,2021,"11,0"
721,Ulvenhout, Low income,2021,"26,0"
722,Buitengebied Ulvenhout, Low income,2021,"19,0"
723,Prinsenbeek, Low income,2021,"23,0"
724,Buitengebied Prinsenbeek, Low income,2021,"20,0"
725,Teteringen, Low income,2021,"23,0"
726,Vuchtpolder, Low income,2021,?
727,Buitengebied Teteringen, Low income,2021,?
728,Valkenberg, High income,2009,"16,0"
729,Chassé, High income,2009,"18,0"
730,Fellenoord, High income,2009,"5,0"
731,Schorsmolen, High income,2009,"5,0"
732,Station, High income,2009,"13,0"
733,City, High income,2009,"16,0"
734,Belcrum, High income,2009,"21,0"
735,Doornbos-Linie, High income,2009,"7,0"
736,Biesdonk, High income,2009,"8,0"
737,Geeren-zuid, High income,2009,?
738,Wisselaar, High income,2009,"9,0"
739,Krogten, High income,2009,"16,0"
740,Geeren-noord, High income,2009,"8,0"
741,Waterdonken, High income,2009,?
742,Brabantpark, High income,2009,"14,0"
743,Sportpark, High income,2009,"32,0"
744,Zandberg, High income,2009,"37,0"
745,Heusdenhout, High income,2009,"19,0"
746,Moleneind-oost, High income,2009,"19,0"
747,Hoogeind, High income,2009,"19,0"
748,Blauwe Kei, High income,2009,"24,0"
749,Ypelaar, High income,2009,"17,0"
750,Overakker, High income,2009,"24,0"
751,Ginneken, High income,2009,"39,0"
752,Mastbos, High income,2009,?
753,Boeimeer, High income,2009,"31,0"
754,Ruitersbos, High income,2009,"39,0"
755,Haagpoort, High income,2009,"14,0"
756,Heuvel, High income,2009,"7,0"
757,Tuinzigt, High income,2009,"6,0"
758,Princenhage, High income,2009,"20,0"
759,Westerpark, High income,2009,"26,0"
760,Heilaar, High income,2009,"52,0"
761,Hazeldonk, High income,2009,?
762,Steenakker, High income,2009,"50,0"
763,Effen-Rith, High income,2009,"48,0"
764,Liesbos, High income,2009,"57,0"
765,Gageldonk, High income,2009,"19,0"
766,Kievitsloop, High income,2009,"22,0"
767,Kesteren, High income,2009,"12,0"
768,Muizenberg, High income,2009,"27,0"
769,Heksenwiel, High income,2009,"24,0"
770,Overkroeten, High income,2009,"31,0"
771,Kroeten, High income,2009,"27,0"
772,Emer, High income,2009,?
773,Hagebeemd, High income,2009,"37,0"
774,Bavel, High income,2009,"31,0"
775,Nieuw Wolfslaar, High income,2009,"43,0"
776,Buitengebied Bavel, High income,2009,"50,0"
777,Ulvenhout, High income,2009,"40,0"
778,Buitengebied Ulvenhout, High income,2009,"64,0"
779,Prinsenbeek, High income,2009,"28,0"
780,Buitengebied Prinsenbeek, High income,2009,"38,0"
781,Teteringen, High income,2009,?
782,Vuchtpolder, High income,2009,?
783,Buitengebied Teteringen, High income,2009,?
784,Valkenberg, High income,2010,"12,0"
785,Chassé, High income,2010,"21,0"
786,Fellenoord, High income,2010,"3,0"
787,Schorsmolen, High income,2010,"5,0"
788,Station, High income,2010,"14,0"
789,City, High income,2010,"15,0"
790,Belcrum, High income,2010,"21,0"
791,Doornbos-Linie, High income,2010,"6,0"
792,Biesdonk, High income,2010,"8,0"
793,Geeren-zuid, High income,2010,?
794,Wisselaar, High income,2010,"10,0"
795,Krogten, High income,2010,"17,0"
796,Geeren-noord, High income,2010,"8,0"
797,Waterdonken, High income,2010,?
798,Brabantpark, High income,2010,"13,0"
799,Sportpark, High income,2010,"37,0"
800,Zandberg, High income,2010,"39,0"
801,Heusdenhout, High income,2010,"19,0"
802,Moleneind-oost, High income,2010,"19,0"
803,Hoogeind, High income,2010,"20,0"
804,Blauwe Kei, High income,2010,"23,0"
805,Ypelaar, High income,2010,"17,0"
806,Overakker, High income,2010,"23,0"
807,Ginneken, High income,2010,"38,0"
808,Mastbos, High income,2010,?
809,Boeimeer, High income,2010,"33,0"
810,Ruitersbos, High income,2010,"40,0"
811,Haagpoort, High income,2010,"14,0"
812,Heuvel, High income,2010,"8,0"
813,Tuinzigt, High income,2010,"6,0"
814,Princenhage, High income,2010,"20,0"
815,Westerpark, High income,2010,"28,0"
816,Heilaar, High income,2010,"49,0"
817,Hazeldonk, High income,2010,?
818,Steenakker, High income,2010,"48,0"
819,Effen-Rith, High income,2010,"44,0"
820,Liesbos, High income,2010,"55,0"
821,Gageldonk, High income,2010,"19,0"
822,Kievitsloop, High income,2010,"21,0"
823,Kesteren, High income,2010,"15,0"
824,Muizenberg, High income,2010,"26,0"
825,Heksenwiel, High income,2010,"25,0"
826,Overkroeten, High income,2010,"31,0"
827,Kroeten, High income,2010,"28,0"
828,Emer, High income,2010,?
829,Hagebeemd, High income,2010,"38,0"
830,Bavel, High income,2010,"32,0"
831,Nieuw Wolfslaar, High income,2010,"46,0"
832,Buitengebied Bavel, High income,2010,"60,0"
833,Ulvenhout, High income,2010,"40,0"
834,Buitengebied Ulvenhout, High income,2010,"66,0"
835,Prinsenbeek, High income,2010,"29,0"
836,Buitengebied Prinsenbeek, High income,2010,"38,0"
837,Teteringen, High income,2010,?
838,Vuchtpolder, High income,2010,?
839,Buitengebied Teteringen, High income,2010,?
840,Valkenberg, High income,2011,"15,0"
841,Chassé, High income,2011,"21,0"
842,Fellenoord, High income,2011,"5,0"
843,Schorsmolen, High income,2011,"5,0"
844,Station, High income,2011,"13,0"
845,City, High income,2011,"13,0"
846,Belcrum, High income,2011,?
847,Doornbos-Linie, High income,2011,"7,0"
848,Biesdonk, High income,2011,"8,0"
849,Geeren-zuid, High income,2011,?
850,Wisselaar, High income,2011,"8,0"
851,Krogten, High income,2011,?
852,Geeren-noord, High income,2011,"6,0"
853,Waterdonken, High income,2011,"34,0"
854,Brabantpark, High income,2011,"13,0"
855,Sportpark, High income,2011,"34,0"
856,Zandberg, High income,2011,"36,0"
857,Heusdenhout, High income,2011,"18,0"
858,Moleneind-oost, High income,2011,"18,0"
859,Hoogeind, High income,2011,"18,0"
860,Blauwe Kei, High income,2011,"26,0"
861,Ypelaar, High income,2011,"17,0"
862,Overakker, High income,2011,"26,0"
863,Ginneken, High income,2011,"40,0"
864,Mastbos, High income,2011,?
865,Boeimeer, High income,2011,"32,0"
866,Ruitersbos, High income,2011,"39,0"
867,Haagpoort, High income,2011,"12,0"
868,Heuvel, High income,2011,"8,0"
869,Tuinzigt, High income,2011,"7,0"
870,Princenhage, High income,2011,"20,0"
871,Westerpark, High income,2011,"30,0"
872,Heilaar, High income,2011,"54,0"
873,Hazeldonk, High income,2011,?
874,Steenakker, High income,2011,?
875,Effen-Rith, High income,2011,"44,0"
876,Liesbos, High income,2011,"43,0"
877,Gageldonk, High income,2011,"21,0"
878,Kievitsloop, High income,2011,"22,0"
879,Kesteren, High income,2011,"13,0"
880,Muizenberg, High income,2011,"27,0"
881,Heksenwiel, High income,2011,"25,0"
882,Overkroeten, High income,2011,"30,0"
883,Kroeten, High income,2011,"29,0"
884,Emer, High income,2011,?
885,Hagebeemd, High income,2011,"49,0"
886,Bavel, High income,2011,"30,0"
887,Nieuw Wolfslaar, High income,2011,"51,0"
888,Buitengebied Bavel, High income,2011,"53,0"
889,Ulvenhout, High income,2011,?
890,Buitengebied Ulvenhout, High income,2011,?
891,Prinsenbeek, High income,2011,"30,0"
892,Buitengebied Prinsenbeek, High income,2011,"42,0"
893,Teteringen, High income,2011,?
894,Vuchtpolder, High income,2011,?
895,Buitengebied Teteringen, High income,2011,?
896,Valkenberg, High income,2012,"15,0"
897,Chassé, High income,2012,"22,0"
898,Fellenoord, High income,2012,"5,0"
899,Schorsmolen, High income,2012,"6,0"
900,Station, High income,2012,"15,0"
901,City, High income,2012,"15,0"
902,Belcrum, High income,2012,?
903,Doornbos-Linie, High income,2012,"7,0"
904,Biesdonk, High income,2012,"7,0"
905,Geeren-zuid, High income,2012,"5,0"
906,Wisselaar, High income,2012,"8,0"
907,Krogten, High income,2012,?
908,Geeren-noord, High income,2012,"7,0"
909,Waterdonken, High income,2012,"28,0"
910,Brabantpark, High income,2012,"13,0"
911,Sportpark, High income,2012,"34,0"
912,Zandberg, High income,2012,"36,0"
913,Heusdenhout, High income,2012,"17,0"
914,Moleneind-oost, High income,2012,?
915,Hoogeind, High income,2012,?
916,Blauwe Kei, High income,2012,"25,0"
917,Ypelaar, High income,2012,"17,0"
918,Overakker, High income,2012,"24,0"
919,Ginneken, High income,2012,"42,0"
920,Mastbos, High income,2012,"47,0"
921,Boeimeer, High income,2012,"32,0"
922,Ruitersbos, High income,2012,"35,0"
923,Haagpoort, High income,2012,"12,0"
924,Heuvel, High income,2012,"8,0"
925,Tuinzigt, High income,2012,"8,0"
926,Princenhage, High income,2012,"20,0"
927,Westerpark, High income,2012,"31,0"
928,Heilaar, High income,2012,"44,0"
929,Hazeldonk, High income,2012,?
930,Steenakker, High income,2012,?
931,Effen-Rith, High income,2012,"45,0"
932,Liesbos, High income,2012,"39,0"
933,Gageldonk, High income,2012,"22,0"
934,Kievitsloop, High income,2012,"22,0"
935,Kesteren, High income,2012,"14,0"
936,Muizenberg, High income,2012,"28,0"
937,Heksenwiel, High income,2012,"25,0"
938,Overkroeten, High income,2012,"31,0"
939,Kroeten, High income,2012,"30,0"
940,Emer, High income,2012,?
941,Hagebeemd, High income,2012,?
942,Bavel, High income,2012,"29,0"
943,Nieuw Wolfslaar, High income,2012,"52,0"
944,Buitengebied Bavel, High income,2012,"52,0"
945,Ulvenhout, High income,2012,"36,0"
946,Buitengebied Ulvenhout, High income,2012,?
947,Prinsenbeek, High income,2012,"30,0"
948,Buitengebied Prinsenbeek, High income,2012,"42,0"
949,Teteringen, High income,2012,"33,0"
950,Vuchtpolder, High income,2012,?
951,Buitengebied Teteringen, High income,2012,?
952,Valkenberg, High income,2013,"16,0"
953,Chassé, High income,2013,"21,0"
954,Fellenoord, High income,2013,"5,0"
955,Schorsmolen, High income,2013,"5,0"
956,Station, High income,2013,"18,0"
957,City, High income,2013,"15,0"
958,Belcrum, High income,2013,?
959,Doornbos-Linie, High income,2013,"7,0"
960,Biesdonk, High income,2013,"7,0"
961,Geeren-zuid, High income,2013,"5,0"
962,Wisselaar, High income,2013,"8,0"
963,Krogten, High income,2013,?
964,Geeren-noord, High income,2013,"6,0"
965,Waterdonken, High income,2013,"27,0"
966,Brabantpark, High income,2013,"13,0"
967,Sportpark, High income,2013,"34,0"
968,Zandberg, High income,2013,"37,0"
969,Heusdenhout, High income,2013,"18,0"
970,Moleneind-oost, High income,2013,?
971,Hoogeind, High income,2013,?
972,Blauwe Kei, High income,2013,"25,0"
973,Ypelaar, High income,2013,"17,0"
974,Overakker, High income,2013,"24,0"
975,Ginneken, High income,2013,"40,0"
976,Mastbos, High income,2013,"38,0"
977,Boeimeer, High income,2013,"33,0"
978,Ruitersbos, High income,2013,"37,0"
979,Haagpoort, High income,2013,"13,0"
980,Heuvel, High income,2013,"9,0"
981,Tuinzigt, High income,2013,"8,0"
982,Princenhage, High income,2013,"20,0"
983,Westerpark, High income,2013,"32,0"
984,Heilaar, High income,2013,"42,0"
985,Hazeldonk, High income,2013,?
986,Steenakker, High income,2013,?
987,Effen-Rith, High income,2013,"44,0"
988,Liesbos, High income,2013,"46,0"
989,Gageldonk, High income,2013,"21,0"
990,Kievitsloop, High income,2013,"21,0"
991,Kesteren, High income,2013,"14,0"
992,Muizenberg, High income,2013,"26,0"
993,Heksenwiel, High income,2013,"24,0"
994,Overkroeten, High income,2013,"31,0"
995,Kroeten, High income,2013,"29,0"
996,Emer, High income,2013,?
997,Hagebeemd, High income,2013,?
998,Bavel, High income,2013,"31,0"
999,Nieuw Wolfslaar, High income,2013,"50,0"
1000,Buitengebied Bavel, High income,2013,"53,0"
1001,Ulvenhout, High income,2013,"37,0"
1002,Buitengebied Ulvenhout, High income,2013,?
1003,Prinsenbeek, High income,2013,"31,0"
1004,Buitengebied Prinsenbeek, High income,2013,"41,0"
1005,Teteringen, High income,2013,"34,0"
1006,Vuchtpolder, High income,2013,?
1007,Buitengebied Teteringen, High income,2013,?
1008,Valkenberg, High income,2014,"63,0"
1009,Chassé, High income,2014,"45,0"
1010,Fellenoord, High income,2014,"69,0"
1011,Schorsmolen, High income,2014,"69,0"
1012,Station, High income,2014,"60,0"
1013,City, High income,2014,"65,0"
1014,Belcrum, High income,2014,?
1015,Doornbos-Linie, High income,2014,"60,0"
1016,Biesdonk, High income,2014,"52,0"
1017,Geeren-zuid, High income,2014,"62,0"
1018,Wisselaar, High income,2014,"50,0"
1019,Krogten, High income,2014,?
1020,Geeren-noord, High income,2014,"62,0"
1021,Waterdonken, High income,2014,"23,0"
1022,Brabantpark, High income,2014,"55,0"
1023,Sportpark, High income,2014,"31,0"
1024,Zandberg, High income,2014,"38,0"
1025,Heusdenhout, High income,2014,"42,0"
1026,Moleneind-oost, High income,2014,?
1027,Hoogeind, High income,2014,?
1028,Blauwe Kei, High income,2014,"33,0"
1029,Ypelaar, High income,2014,"41,0"
1030,Overakker, High income,2014,"36,0"
1031,Ginneken, High income,2014,"29,0"
1032,Mastbos, High income,2014,"19,0"
1033,Boeimeer, High income,2014,"35,0"
1034,Ruitersbos, High income,2014,"36,0"
1035,Haagpoort, High income,2014,"53,0"
1036,Heuvel, High income,2014,"59,0"
1037,Tuinzigt, High income,2014,"64,0"
1038,Princenhage, High income,2014,"37,0"
1039,Westerpark, High income,2014,"27,0"
1040,Heilaar, High income,2014,"20,0"
1041,Hazeldonk, High income,2014,?
1042,Steenakker, High income,2014,?
1043,Effen-Rith, High income,2014,"20,0"
1044,Liesbos, High income,2014,"19,0"
1045,Gageldonk, High income,2014,"35,0"
1046,Kievitsloop, High income,2014,"28,0"
1047,Kesteren, High income,2014,"42,0"
1048,Muizenberg, High income,2014,"35,0"
1049,Heksenwiel, High income,2014,"31,0"
1050,Overkroeten, High income,2014,"28,0"
1051,Kroeten, High income,2014,"21,0"
1052,Emer, High income,2014,?
1053,Hagebeemd, High income,2014,?
1054,Bavel, High income,2014,"26,0"
1055,Nieuw Wolfslaar, High income,2014,"17,0"
1056,Buitengebied Bavel, High income,2014,"33,0"
1057,Ulvenhout, High income,2014,"25,0"
1058,Buitengebied Ulvenhout, High income,2014,?
1059,Prinsenbeek, High income,2014,"24,0"
1060,Buitengebied Prinsenbeek, High income,2014,"16,0"
1061,Teteringen, High income,2014,"25,0"
1062,Vuchtpolder, High income,2014,?
1063,Buitengebied Teteringen, High income,2014,?
1064,Valkenberg, High income,2015,"12,0"
1065,Chassé, High income,2015,"20,0"
1066,Fellenoord, High income,2015,"5,0"
1067,Schorsmolen, High income,2015,"5,0"
1068,Station, High income,2015,"16,0"
1069,City, High income,2015,"11,0"
1070,Belcrum, High income,2015,"21,0"
1071,Doornbos-Linie, High income,2015,"8,0"
1072,Biesdonk, High income,2015,"8,0"
1073,Geeren-zuid, High income,2015,"5,0"
1074,Wisselaar, High income,2015,"8,0"
1075,Krogten, High income,2015,"14,0"
1076,Geeren-noord, High income,2015,"7,0"
1077,Waterdonken, High income,2015,"35,0"
1078,Brabantpark, High income,2015,"12,0"
1079,Sportpark, High income,2015,"32,0"
1080,Zandberg, High income,2015,"32,0"
1081,Heusdenhout, High income,2015,"17,0"
1082,Moleneind-oost, High income,2015,?
1083,Hoogeind, High income,2015,?
1084,Blauwe Kei, High income,2015,"28,0"
1085,Ypelaar, High income,2015,"17,0"
1086,Overakker, High income,2015,"23,0"
1087,Ginneken, High income,2015,"40,0"
1088,Mastbos, High income,2015,"52,0"
1089,Boeimeer, High income,2015,"32,0"
1090,Ruitersbos, High income,2015,"34,0"
1091,Haagpoort, High income,2015,"13,0"
1092,Heuvel, High income,2015,"9,0"
1093,Tuinzigt, High income,2015,"7,0"
1094,Princenhage, High income,2015,"20,0"
1095,Westerpark, High income,2015,"33,0"
1096,Heilaar, High income,2015,"46,0"
1097,Hazeldonk, High income,2015,?
1098,Steenakker, High income,2015,"43,0"
1099,Effen-Rith, High income,2015,"46,0"
1100,Liesbos, High income,2015,"45,0"
1101,Gageldonk, High income,2015,"19,0"
1102,Kievitsloop, High income,2015,"22,0"
1103,Kesteren, High income,2015,"14,0"
1104,Muizenberg, High income,2015,"27,0"
1105,Heksenwiel, High income,2015,"27,0"
1106,Overkroeten, High income,2015,"33,0"
1107,Kroeten, High income,2015,"31,0"
1108,Emer, High income,2015,?
1109,Hagebeemd, High income,2015,?
1110,Bavel, High income,2015,"31,0"
1111,Nieuw Wolfslaar, High income,2015,"51,0"
1112,Buitengebied Bavel, High income,2015,"50,0"
1113,Ulvenhout, High income,2015,"38,0"
1114,Buitengebied Ulvenhout, High income,2015,?
1115,Prinsenbeek, High income,2015,"32,0"
1116,Buitengebied Prinsenbeek, High income,2015,"41,0"
1117,Teteringen, High income,2015,"34,0"
1118,Vuchtpolder, High income,2015,?
1119,Buitengebied Teteringen, High income,2015,?
1120,Valkenberg, High income,2016,"12,0"
1121,Chassé, High income,2016,"17,0"
1122,Fellenoord, High income,2016,"5,0"
1123,Schorsmolen, High income,2016,"4,0"
1124,Station, High income,2016,"14,0"
1125,City, High income,2016,"9,0"
1126,Belcrum, High income,2016,"23,0"
1127,Doornbos-Linie, High income,2016,"8,0"
1128,Biesdonk, High income,2016,"6,0"
1129,Geeren-zuid, High income,2016,"4,0"
1130,Wisselaar, High income,2016,"7,0"
1131,Krogten, High income,2016,"20,0"
1132,Geeren-noord, High income,2016,"7,0"
1133,Waterdonken, High income,2016,"34,0"
1134,Brabantpark, High income,2016,"13,0"
1135,Sportpark, High income,2016,"33,0"
1136,Zandberg, High income,2016,"33,0"
1137,Heusdenhout, High income,2016,"17,0"
1138,Moleneind-oost, High income,2016,?
1139,Hoogeind, High income,2016,?
1140,Blauwe Kei, High income,2016,"28,0"
1141,Ypelaar, High income,2016,"17,0"
1142,Overakker, High income,2016,"24,0"
1143,Ginneken, High income,2016,"41,0"
1144,Mastbos, High income,2016,"46,0"
1145,Boeimeer, High income,2016,"31,0"
1146,Ruitersbos, High income,2016,"33,0"
1147,Haagpoort, High income,2016,"13,0"
1148,Heuvel, High income,2016,"10,0"
1149,Tuinzigt, High income,2016,"6,0"
1150,Princenhage, High income,2016,"20,0"
1151,Westerpark, High income,2016,"36,0"
1152,Heilaar, High income,2016,"53,0"
1153,Hazeldonk, High income,2016,?
1154,Steenakker, High income,2016,?
1155,Effen-Rith, High income,2016,"45,0"
1156,Liesbos, High income,2016,"44,0"
1157,Gageldonk, High income,2016,"20,0"
1158,Kievitsloop, High income,2016,"21,0"
1159,Kesteren, High income,2016,"13,0"
1160,Muizenberg, High income,2016,"26,0"
1161,Heksenwiel, High income,2016,"26,0"
1162,Overkroeten, High income,2016,"34,0"
1163,Kroeten, High income,2016,"32,0"
1164,Emer, High income,2016,?
1165,Hagebeemd, High income,2016,?
1166,Bavel, High income,2016,"32,0"
1167,Nieuw Wolfslaar, High income,2016,"51,0"
1168,Buitengebied Bavel, High income,2016,"50,0"
1169,Ulvenhout, High income,2016,"36,0"
1170,Buitengebied Ulvenhout, High income,2016,?
1171,Prinsenbeek, High income,2016,"32,0"
1172,Buitengebied Prinsenbeek, High income,2016,"44,0"
1173,Teteringen, High income,2016,"34,0"
1174,Vuchtpolder, High income,2016,?
1175,Buitengebied Teteringen, High income,2016,?
1176,Valkenberg, High income,2017,"11,0"
1177,Chassé, High income,2017,"17,0"
1178,Fellenoord, High income,2017,"4,0"
1179,Schorsmolen, High income,2017,"4,0"
1180,Station, High income,2017,"14,0"
1181,City, High income,2017,"10,0"
1182,Belcrum, High income,2017,"25,0"
1183,Doornbos-Linie, High income,2017,"8,0"
1184,Biesdonk, High income,2017,"6,0"
1185,Geeren-zuid, High income,2017,"5,0"
1186,Wisselaar, High income,2017,"8,0"
1187,Krogten, High income,2017,"23,0"
1188,Geeren-noord, High income,2017,"6,0"
1189,Waterdonken, High income,2017,"37,0"
1190,Brabantpark, High income,2017,"13,0"
1191,Sportpark, High income,2017,"31,0"
1192,Zandberg, High income,2017,"34,0"
1193,Heusdenhout, High income,2017,"17,0"
1194,Moleneind-oost, High income,2017,?
1195,Hoogeind, High income,2017,?
1196,Blauwe Kei, High income,2017,"29,0"
1197,Ypelaar, High income,2017,"16,0"
1198,Overakker, High income,2017,"24,0"
1199,Ginneken, High income,2017,"42,0"
1200,Mastbos, High income,2017,"33,0"
1201,Boeimeer, High income,2017,"32,0"
1202,Ruitersbos, High income,2017,"33,0"
1203,Haagpoort, High income,2017,"15,0"
1204,Heuvel, High income,2017,"9,0"
1205,Tuinzigt, High income,2017,"6,0"
1206,Princenhage, High income,2017,"21,0"
1207,Westerpark, High income,2017,"34,0"
1208,Heilaar, High income,2017,"55,0"
1209,Hazeldonk, High income,2017,?
1210,Steenakker, High income,2017,?
1211,Effen-Rith, High income,2017,"46,0"
1212,Liesbos, High income,2017,"45,0"
1213,Gageldonk, High income,2017,"19,0"
1214,Kievitsloop, High income,2017,"20,0"
1215,Kesteren, High income,2017,"14,0"
1216,Muizenberg, High income,2017,"25,0"
1217,Heksenwiel, High income,2017,"26,0"
1218,Overkroeten, High income,2017,"32,0"
1219,Kroeten, High income,2017,"32,0"
1220,Emer, High income,2017,?
1221,Hagebeemd, High income,2017,?
1222,Bavel, High income,2017,"33,0"
1223,Nieuw Wolfslaar, High income,2017,"51,0"
1224,Buitengebied Bavel, High income,2017,"57,0"
1225,Ulvenhout, High income,2017,"36,0"
1226,Buitengebied Ulvenhout, High income,2017,"51,0"
1227,Prinsenbeek, High income,2017,"32,0"
1228,Buitengebied Prinsenbeek, High income,2017,"48,0"
1229,Teteringen, High income,2017,"34,0"
1230,Vuchtpolder, High income,2017,?
1231,Buitengebied Teteringen, High income,2017,?
1232,Valkenberg, High income,2018,"11,0"
1233,Chassé, High income,2018,"16,0"
1234,Fellenoord, High income,2018,"4,0"
1235,Schorsmolen, High income,2018,"4,0"
1236,Station, High income,2018,"14,0"
1237,City, High income,2018,"11,0"
1238,Belcrum, High income,2018,"26,0"
1239,Doornbos-Linie, High income,2018,"7,0"
1240,Biesdonk, High income,2018,"7,0"
1241,Geeren-zuid, High income,2018,"4,0"
1242,Wisselaar, High income,2018,"8,0"
1243,Krogten, High income,2018,?
1244,Geeren-noord, High income,2018,"7,0"
1245,Waterdonken, High income,2018,"40,0"
1246,Brabantpark, High income,2018,"13,0"
1247,Sportpark, High income,2018,"32,0"
1248,Zandberg, High income,2018,"34,0"
1249,Heusdenhout, High income,2018,"17,0"
1250,Moleneind-oost, High income,2018,?
1251,Hoogeind, High income,2018,?
1252,Blauwe Kei, High income,2018,"29,0"
1253,Ypelaar, High income,2018,"17,0"
1254,Overakker, High income,2018,"24,0"
1255,Ginneken, High income,2018,"42,0"
1256,Mastbos, High income,2018,"37,0"
1257,Boeimeer, High income,2018,"31,0"
1258,Ruitersbos, High income,2018,"34,0"
1259,Haagpoort, High income,2018,"15,0"
1260,Heuvel, High income,2018,"9,0"
1261,Tuinzigt, High income,2018,"6,0"
1262,Princenhage, High income,2018,"22,0"
1263,Westerpark, High income,2018,"33,0"
1264,Heilaar, High income,2018,"52,0"
1265,Hazeldonk, High income,2018,?
1266,Steenakker, High income,2018,"14,0"
1267,Effen-Rith, High income,2018,"47,0"
1268,Liesbos, High income,2018,"49,0"
1269,Gageldonk, High income,2018,"19,0"
1270,Kievitsloop, High income,2018,"21,0"
1271,Kesteren, High income,2018,"13,0"
1272,Muizenberg, High income,2018,"23,0"
1273,Heksenwiel, High income,2018,"26,0"
1274,Overkroeten, High income,2018,"31,0"
1275,Kroeten, High income,2018,"32,0"
1276,Emer, High income,2018,?
1277,Hagebeemd, High income,2018,?
1278,Bavel, High income,2018,"33,0"
1279,Nieuw Wolfslaar, High income,2018,"49,0"
1280,Buitengebied Bavel, High income,2018,"57,0"
1281,Ulvenhout, High income,2018,"36,0"
1282,Buitengebied Ulvenhout, High income,2018,"46,0"
1283,Prinsenbeek, High income,2018,"32,0"
1284,Buitengebied Prinsenbeek, High income,2018,"47,0"
1285,Teteringen, High income,2018,"35,0"
1286,Vuchtpolder, High income,2018,?
1287,Buitengebied Teteringen, High income,2018,?
1288,Valkenberg, High income,2019,"11,0"
1289,Chassé, High income,2019,"18,0"
1290,Fellenoord, High income,2019,"4,0"
1291,Schorsmolen, High income,2019,"4,0"
1292,Station, High income,2019,"15,0"
1293,City, High income,2019,"11,0"
1294,Belcrum, High income,2019,"26,0"
1295,Doornbos-Linie, High income,2019,"8,0"
1296,Biesdonk, High income,2019,"7,0"
1297,Geeren-zuid, High income,2019,"5,0"
1298,Wisselaar, High income,2019,"8,0"
1299,Krogten, High income,2019,?
1300,Geeren-noord, High income,2019,"7,0"
1301,Waterdonken, High income,2019,"40,0"
1302,Brabantpark, High income,2019,"13,0"
1303,Sportpark, High income,2019,"33,0"
1304,Zandberg, High income,2019,"35,0"
1305,Heusdenhout, High income,2019,"17,0"
1306,Moleneind-oost, High income,2019,?
1307,Hoogeind, High income,2019,?
1308,Blauwe Kei, High income,2019,"27,0"
1309,Ypelaar, High income,2019,"17,0"
1310,Overakker, High income,2019,"24,0"
